N,p,q,N_binary,p_binary,N_bits,p_bits
4,2,2,00000000000000100,000000010,17,9
6,2,3,00000000000000110,000000010,17,9
9,3,3,00000000000001001,000000011,17,9
10,2,5,00000000000001010,000000010,17,9
14,2,7,00000000000001110,000000010,17,9
15,3,5,00000000000001111,000000011,17,9
21,3,7,00000000000010101,000000011,17,9
22,2,11,00000000000010110,000000010,17,9
25,5,5,00000000000011001,000000101,17,9
26,2,13,00000000000011010,000000010,17,9
33,3,11,00000000000100001,000000011,17,9
34,2,17,00000000000100010,000000010,17,9
35,5,7,00000000000100011,000000101,17,9
38,2,19,00000000000100110,000000010,17,9
39,3,13,00000000000100111,000000011,17,9
46,2,23,00000000000101110,000000010,17,9
49,7,7,00000000000110001,000000111,17,9
51,3,17,00000000000110011,000000011,17,9
55,5,11,00000000000110111,000000101,17,9
57,3,19,00000000000111001,000000011,17,9
58,2,29,00000000000111010,000000010,17,9
62,2,31,00000000000111110,000000010,17,9
65,5,13,00000000001000001,000000101,17,9
69,3,23,00000000001000101,000000011,17,9
74,2,37,00000000001001010,000000010,17,9
77,7,11,00000000001001101,000000111,17,9
82,2,41,00000000001010010,000000010,17,9
85,5,17,00000000001010101,000000101,17,9
86,2,43,00000000001010110,000000010,17,9
87,3,29,00000000001010111,000000011,17,9
91,7,13,00000000001011011,000000111,17,9
93,3,31,00000000001011101,000000011,17,9
94,2,47,00000000001011110,000000010,17,9
95,5,19,00000000001011111,000000101,17,9
106,2,53,00000000001101010,000000010,17,9
111,3,37,00000000001101111,000000011,17,9
115,5,23,00000000001110011,000000101,17,9
118,2,59,00000000001110110,000000010,17,9
119,7,17,00000000001110111,000000111,17,9
121,11,11,00000000001111001,000001011,17,9
122,2,61,00000000001111010,000000010,17,9
123,3,41,00000000001111011,000000011,17,9
129,3,43,00000000010000001,000000011,17,9
133,7,19,00000000010000101,000000111,17,9
134,2,67,00000000010000110,000000010,17,9
141,3,47,00000000010001101,000000011,17,9
142,2,71,00000000010001110,000000010,17,9
143,11,13,00000000010001111,000001011,17,9
