N,p,q,N_binary,p_binary,N_bits,p_bits
4,2,2,00000000000100,0000010,14,7
6,2,3,00000000000110,0000010,14,7
9,3,3,00000000001001,0000011,14,7
10,2,5,00000000001010,0000010,14,7
14,2,7,00000000001110,0000010,14,7
15,3,5,00000000001111,0000011,14,7
21,3,7,00000000010101,0000011,14,7
22,2,11,00000000010110,0000010,14,7
25,5,5,00000000011001,0000101,14,7
26,2,13,00000000011010,0000010,14,7
33,3,11,00000000100001,0000011,14,7
34,2,17,00000000100010,0000010,14,7
35,5,7,00000000100011,0000101,14,7
38,2,19,00000000100110,0000010,14,7
39,3,13,00000000100111,0000011,14,7
46,2,23,00000000101110,0000010,14,7
49,7,7,00000000110001,0000111,14,7
51,3,17,00000000110011,0000011,14,7
55,5,11,00000000110111,0000101,14,7
57,3,19,00000000111001,0000011,14,7
58,2,29,00000000111010,0000010,14,7
62,2,31,00000000111110,0000010,14,7
65,5,13,00000001000001,0000101,14,7
69,3,23,00000001000101,0000011,14,7
74,2,37,00000001001010,0000010,14,7
77,7,11,00000001001101,0000111,14,7
82,2,41,00000001010010,0000010,14,7
85,5,17,00000001010101,0000101,14,7
86,2,43,00000001010110,0000010,14,7
87,3,29,00000001010111,0000011,14,7
91,7,13,00000001011011,0000111,14,7
93,3,31,00000001011101,0000011,14,7
94,2,47,00000001011110,0000010,14,7
95,5,19,00000001011111,0000101,14,7
106,2,53,00000001101010,0000010,14,7
111,3,37,00000001101111,0000011,14,7
115,5,23,00000001110011,0000101,14,7
118,2,59,00000001110110,0000010,14,7
119,7,17,00000001110111,0000111,14,7
121,11,11,00000001111001,0001011,14,7
122,2,61,00000001111010,0000010,14,7
123,3,41,00000001111011,0000011,14,7
129,3,43,00000010000001,0000011,14,7
133,7,19,00000010000101,0000111,14,7
134,2,67,00000010000110,0000010,14,7
141,3,47,00000010001101,0000011,14,7
142,2,71,00000010001110,0000010,14,7
143,11,13,00000010001111,0001011,14,7
145,5,29,00000010010001,0000101,14,7
146,2,73,00000010010010,0000010,14,7
155,5,31,00000010011011,0000101,14,7
158,2,79,00000010011110,0000010,14,7
159,3,53,00000010011111,0000011,14,7
161,7,23,00000010100001,0000111,14,7
166,2,83,00000010100110,0000010,14,7
169,13,13,00000010101001,0001101,14,7
177,3,59,00000010110001,0000011,14,7
178,2,89,00000010110010,0000010,14,7
183,3,61,00000010110111,0000011,14,7
185,5,37,00000010111001,0000101,14,7
187,11,17,00000010111011,0001011,14,7
194,2,97,00000011000010,0000010,14,7
201,3,67,00000011001001,0000011,14,7
202,2,101,00000011001010,0000010,14,7
203,7,29,00000011001011,0000111,14,7
205,5,41,00000011001101,0000101,14,7
206,2,103,00000011001110,0000010,14,7
209,11,19,00000011010001,0001011,14,7
213,3,71,00000011010101,0000011,14,7
214,2,107,00000011010110,0000010,14,7
215,5,43,00000011010111,0000101,14,7
217,7,31,00000011011001,0000111,14,7
218,2,109,00000011011010,0000010,14,7
219,3,73,00000011011011,0000011,14,7
221,13,17,00000011011101,0001101,14,7
226,2,113,00000011100010,0000010,14,7
235,5,47,00000011101011,0000101,14,7
237,3,79,00000011101101,0000011,14,7
247,13,19,00000011110111,0001101,14,7
249,3,83,00000011111001,0000011,14,7
253,11,23,00000011111101,0001011,14,7
254,2,127,00000011111110,0000010,14,7
259,7,37,00000100000011,0000111,14,7
262,2,131,00000100000110,0000010,14,7
265,5,53,00000100001001,0000101,14,7
267,3,89,00000100001011,0000011,14,7
274,2,137,00000100010010,0000010,14,7
278,2,139,00000100010110,0000010,14,7
287,7,41,00000100011111,0000111,14,7
289,17,17,00000100100001,0010001,14,7
291,3,97,00000100100011,0000011,14,7
295,5,59,00000100100111,0000101,14,7
298,2,149,00000100101010,0000010,14,7
299,13,23,00000100101011,0001101,14,7
301,7,43,00000100101101,0000111,14,7
302,2,151,00000100101110,0000010,14,7
303,3,101,00000100101111,0000011,14,7
305,5,61,00000100110001,0000101,14,7
309,3,103,00000100110101,0000011,14,7
314,2,157,00000100111010,0000010,14,7
319,11,29,00000100111111,0001011,14,7
321,3,107,00000101000001,0000011,14,7
323,17,19,00000101000011,0010001,14,7
326,2,163,00000101000110,0000010,14,7
327,3,109,00000101000111,0000011,14,7
329,7,47,00000101001001,0000111,14,7
334,2,167,00000101001110,0000010,14,7
335,5,67,00000101001111,0000101,14,7
339,3,113,00000101010011,0000011,14,7
341,11,31,00000101010101,0001011,14,7
346,2,173,00000101011010,0000010,14,7
355,5,71,00000101100011,0000101,14,7
358,2,179,00000101100110,0000010,14,7
361,19,19,00000101101001,0010011,14,7
362,2,181,00000101101010,0000010,14,7
365,5,73,00000101101101,0000101,14,7
371,7,53,00000101110011,0000111,14,7
377,13,29,00000101111001,0001101,14,7
381,3,127,00000101111101,0000011,14,7
382,2,191,00000101111110,0000010,14,7
386,2,193,00000110000010,0000010,14,7
391,17,23,00000110000111,0010001,14,7
393,3,131,00000110001001,0000011,14,7
394,2,197,00000110001010,0000010,14,7
395,5,79,00000110001011,0000101,14,7
398,2,199,00000110001110,0000010,14,7
403,13,31,00000110010011,0001101,14,7
407,11,37,00000110010111,0001011,14,7
411,3,137,00000110011011,0000011,14,7
413,7,59,00000110011101,0000111,14,7
415,5,83,00000110011111,0000101,14,7
417,3,139,00000110100001,0000011,14,7
422,2,211,00000110100110,0000010,14,7
427,7,61,00000110101011,0000111,14,7
437,19,23,00000110110101,0010011,14,7
445,5,89,00000110111101,0000101,14,7
446,2,223,00000110111110,0000010,14,7
447,3,149,00000110111111,0000011,14,7
451,11,41,00000111000011,0001011,14,7
453,3,151,00000111000101,0000011,14,7
454,2,227,00000111000110,0000010,14,7
458,2,229,00000111001010,0000010,14,7
466,2,233,00000111010010,0000010,14,7
469,7,67,00000111010101,0000111,14,7
471,3,157,00000111010111,0000011,14,7
473,11,43,00000111011001,0001011,14,7
478,2,239,00000111011110,0000010,14,7
481,13,37,00000111100001,0001101,14,7
482,2,241,00000111100010,0000010,14,7
485,5,97,00000111100101,0000101,14,7
