N,p
3551,53
8507,47
7739,71
3233,53
6667,59
7379,47
5183,71
6683,41
8621,37
5513,37
7363,37
6887,71
5959,59
4307,59
2623,43
5969,47
8413,47
4661,59
7747,61
3977,41
5917,61
5329,73
8909,59
4469,41
3953,59
6157,47
3737,37
2537,43
7807,37
5069,37
7067,37
5617,41
9797,97
3053,43
5977,43
5723,59
5293,67
9761,43
6431,59
6527,61
1763,41
6697,37
3901,47
9089,61
9991,97
7093,41
8201,59
9553,41
6401,37
6179,37
3599,59
4087,61
4387,41
7171,71
9943,61
6499,67
9271,73
6847,41
2627,37
6623,37
9259,47
4897,59
5371,41
7991,61
7519,73
3239,41
5143,37
7831,41
9047,83
6901,67
5461,43
5251,59
9211,61
6031,37
4747,47
9847,43
6493,43
6767,67
2173,41
9179,67
5429,61
7261,53
3763,53
9287,37
8131,47
4429,43
7729,59
8003,53
3481,59
5609,71
4699,37
1591,37
8791,59
4183,47
6109,41
8611,79
8471,43
9983,67
3811,37
8651,41
2419,41
9071,47
8213,43
6497,73
2923,37
9301,71
6731,53
4687,43
3403,41
6161,61
1517,37
4331,61
5141,53
8077,41
6059,73
7849,47
5891,43
8989,89
9389,41
7181,43
4819,61
6943,53
8399,37
4187,53
5029,47
8549,83
9617,59
9799,41
2257,37
2701,37
3293,37
5353,53
8023,71
3649,41
7009,43
9869,71
9589,43
2491,47
2021,43
9731,37
6313,59
9727,71
3337,47
8357,61
8881,83
8633,89
6439,47
2773,47
7387,83
8249,73
9307,41
5063,61
2867,47
6533,47
4841,47
4399,53
7697,43
8137,79
7913,41
5777,53
5587,37
1739,37
3071,37
8473,37
3149,47
4343,43
5633,43
8083,59
3869,53
2809,53
6893,61
8321,53
4847,37
6889,83
7663,79
5041,71
3713,47
4859,43
8051,83
2501,41
8383,83
3431,47
1961,37
8639,53
6649,61
4181,37
8251,37
9953,37
9487,53
